7zip	23.01+dfsg-11
libedata-book-1.2-27t64	3.52.3-0ubuntu1.1
libedata-cal-2.0-2t64	3.52.3-0ubuntu1.1
libedataserver-1.2-27t64	3.52.3-0ubuntu1.1
libedataserverui-1.2-4t64	3.52.3-0ubuntu1.1
libedit2	3.1-20230828-1build1
libedit2	3.1-20230828-1build1
libefiboot1t64	38-3.1build1
libefivar1t64	38-3.1build1
libegl-mesa0	25.2.8-0ubuntu0.24.04.1
libegl1	1.7.0-1build1
libelf1t64	0.190-1.1ubuntu0.1
libelf1t64	0.190-1.1ubuntu0.1
libenchant-2-2	2.3.3-2build2
libencode-locale-perl	1.05-3
libeot0	0.01-5build3
libepoxy0	1.5.10-1build1
libepoxy0	1.5.10-1build1
libepubgen-0.1-1	0.1.1-1ubuntu6
liberror-perl	0.17029-2
libestr0	0.1.11-1build1
libetonyek-0.1-1	0.1.10-5build1
libevdev2	1.13.1+dfsg-1build1
libevent-core-2.1-7t64	2.1.12-stable-9ubuntu2
libexif12	0.6.24-1build2
libexif12	0.6.24-1build2
libexo-2-0	4.18.0-1build4
libexo-common	4.18.0-1build4
libexpat1	2.6.1-2ubuntu0.3
libexpat1	2.6.1-2ubuntu0.3
libexpat1-dev	2.6.1-2ubuntu0.3
libext2fs2t64	1.47.0-2.4~exp1ubuntu4.1
libexttextcat-2.0-0	3.4.7-1build1
libexttextcat-data	3.4.7-1build1
libfakeroot	1.33-1
libfastjson4	1.2304.0-1build1
libfcitx-config4	1:4.2.9.9-2build2
libfcitx-gclient1	1:4.2.9.9-2build2
libfcitx-utils0	1:4.2.9.9-2build2
libfdisk1	2.39.3-9ubuntu6.4
libffi8	3.4.6-1build1
libffi8	3.4.6-1build1
libfftw3-single3	3.3.10-1ubuntu3
libfido2-1	1.14.0-1build3
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.22-3
libfile-fcntllock-perl	0.22-4ubuntu5
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.34-1
libflac12t64	1.4.3+ds-2.1ubuntu2
libflac12t64	1.4.3+ds-2.1ubuntu2
libflashrom1	1.3.0-2.1ubuntu2
libfont-afm-perl	1.20-4
libfontconfig1	2.15.0-1.1ubuntu2
libfontconfig1	2.15.0-1.1ubuntu2
libfontenc1	1:1.1.8-1build1
libfreehand-0.1-1	0.1.2-3build3
libfreetype6	2.13.2+dfsg-1build3
libfreetype6	2.13.2+dfsg-1build3
libfribidi0	1.0.13-3build1
libfribidi0	1.0.13-3build1
libftdi1-2	1.5-6build5
libfuse2t64	2.9.9-8.1build1
libfuse3-3	3.14.0-5build1
libfwupd2	1.9.33-0ubuntu1~24.04.1ubuntu1
libgail-common	2.24.33-4ubuntu1.1
libgail18t64	2.24.33-4ubuntu1.1
libgarcon-1-0	4.18.1-1build3
libgarcon-common	4.18.1-1build3
libgarcon-gtk3-1-0	4.18.1-1build3
libgbm1	25.2.8-0ubuntu0.24.04.1
libgbm1	25.2.8-0ubuntu0.24.04.1
libgcc-13-dev	13.3.0-6ubuntu2~24.04
libgcc-s1	14.2.0-4ubuntu2~24.04
libgcc-s1	14.2.0-4ubuntu2~24.04
libgck-1-0	3.41.2-1build3
libgck-2-2	4.2.0-5
libgcr-4-4	4.2.0-5
libgcr-base-3-1	3.41.2-1build3
libgcr-ui-3-1	3.41.2-1build3
libgcrypt20	1.10.3-2build1
libgcrypt20	1.10.3-2build1
libgd3	2.3.3-9ubuntu5
libgd3	2.3.3-9ubuntu5
libgdata-common	0.18.1-6build2
libgdata22	0.18.1-6build2
libgdbm-compat4t64	1.23-5.1build1
libgdbm6t64	1.23-5.1build1
libgdk-pixbuf-2.0-0	2.42.10+dfsg-3ubuntu3.2
libgdk-pixbuf-2.0-0	2.42.10+dfsg-3ubuntu3.2
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.2
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.2
libgee-0.8-2	0.20.6-1build2
libgeocode-glib-2-0	3.26.3-6build3
libgeonames-common	0.3.1-1build2
libgeonames0	0.3.1-1build2
libgirepository-1.0-1	1.80.1-1
libgl1	1.7.0-1build1
libgl1	1.7.0-1build1
libgl1-mesa-dri	25.2.8-0ubuntu0.24.04.1
libgl1-mesa-dri	25.2.8-0ubuntu0.24.04.1
libgles2	1.7.0-1build1
