7zip	23.01+dfsg-11
python3-markdown-it	3.0.0-2
python3-markupsafe	2.1.5-1build2
python3-mdurl	0.1.2-1
python3-minimal	3.12.3-0ubuntu2.1
python3-netaddr	0.8.0-2ubuntu1
python3-netifaces	0.11.0-2build3
python3-netplan	1.1.2-8ubuntu1~24.04.1
python3-newt	0.52.24-2ubuntu2
python3-oauthlib	3.2.2-1
python3-openssl	23.2.0-1
python3-packaging	24.0-1
python3-pexpect	4.9-2
python3-pip	24.0+dfsg-1ubuntu1.3
python3-pip-whl	24.0+dfsg-1ubuntu1.3
python3-pkg-resources	68.1.2-2ubuntu1.2
python3-problem-report	2.28.1-0ubuntu3.8
python3-psutil	5.9.8-2build2
python3-ptyprocess	0.7.0-5
python3-pyasn1	0.4.8-4ubuntu0.1
python3-pyasn1-modules	0.2.8-1
python3-pygments	2.17.2+dfsg-1
python3-pyparsing	3.1.1-1
python3-pyrsistent	0.20.0-1build2
python3-requests	2.31.0+dfsg-1ubuntu1.1
python3-rich	13.7.1-1
python3-s3transfer	0.10.1-1ubuntu2
python3-serial	3.5-2
python3-service-identity	24.1.0-1
python3-setuptools	68.1.2-2ubuntu1.2
python3-setuptools-whl	68.1.2-2ubuntu1.2
python3-six	1.16.0-4
python3-software-properties	0.99.49.3
python3-soupsieve	2.5-1
python3-systemd	235-1build4
python3-twisted	24.3.0-1ubuntu0.1
python3-typing-extensions	4.10.0-1
python3-tz	2024.1-2
python3-uno	4:24.2.7-0ubuntu0.24.04.4
python3-update-manager	1:24.04.12
python3-urllib3	2.0.7-1ubuntu0.6
python3-venv	3.12.3-0ubuntu2.1
python3-wadllib	1.3.6-5
python3-webencodings	0.5.1-5
python3-wheel	0.42.0-2
python3-xdg	0.28-2
python3-yaml	6.0.1-2build2
python3-zope.interface	6.1-1build1
python3.12	3.12.3-1ubuntu0.11
python3.12-dev	3.12.3-1ubuntu0.11
python3.12-minimal	3.12.3-1ubuntu0.11
python3.12-venv	3.12.3-1ubuntu0.11
qemu-guest-agent	1:8.2.2+ds-0ubuntu1.12
readline-common	8.2-4build1
ristretto	0.13.1-1build2
rpcsvc-proto	1.4.2-0ubuntu7
rsync	3.2.7-1ubuntu1.2
rsyslog	8.2312.0-3ubuntu9.1
rtkit	0.13-5build1
run-one	1.17-0ubuntu2
samba-libs	2:4.19.5+dfsg-4ubuntu9.4
sane-airscan	0.99.29-0ubuntu4
sane-utils	1.2.1-7build4
sbsigntool	0.9.4-3.1ubuntu7
screen	4.9.1-1ubuntu1
secureboot-db	1.9build1
sed	4.9-2build1
sensible-utils	0.0.22
session-migration	0.3.9build1
sg3-utils	1.46-3ubuntu4
sg3-utils-udev	1.46-3ubuntu4
sgml-base	1.31
sgml-data	2.0.11+nmu1
shared-mime-info	2.4-4
shim-signed	1.58+15.8-0ubuntu1
slirp4netns	1.2.1-1build2
snapd	2.73+ubuntu24.04
software-properties-common	0.99.49.3
sosreport	4.9.2-0ubuntu0~24.04.1
sound-theme-freedesktop	0.8-2ubuntu1
sqlite3	3.45.1-1ubuntu2.5
squashfs-tools	1:4.6.1-1build1
ssh-import-id	5.11-0ubuntu2.24.04.1
ssl-cert	1.1.2ubuntu1
strace	6.8-0ubuntu2
sudo	1.9.15p5-3ubuntu5.24.04.1
sysstat	12.6.1-2
system-config-printer	1.5.18-1ubuntu9
system-config-printer-common	1.5.18-1ubuntu9
system-config-printer-udev	1.5.18-1ubuntu9
systemd	255.4-1ubuntu8.12
systemd-dev	255.4-1ubuntu8.12
systemd-hwe-hwdb	255.1.6
systemd-resolved	255.4-1ubuntu8.12
systemd-sysv	255.4-1ubuntu8.12
systemd-timesyncd	255.4-1ubuntu8.12
sysvinit-utils	3.08-6ubuntu3
tango-icon-theme	0.8.90-11
tar	1.35+dfsg-3build1
tcl	8.6.14build1
tcl8.6	8.6.14+dfsg-1build1
tcpdump	4.99.4-3ubuntu4.24.04.1
telnet	0.17+2.5-3ubuntu4.1
terser	5.19.2-1
thin-provisioning-tools	0.9.0-2ubuntu5.1
thunar	4.18.8-1build3
thunar-archive-plugin	0.5.2-1build2
thunar-data	4.18.8-1build3
thunar-media-tags-plugin	0.4.0-1build2
thunar-volman	4.18.0-1build2
time	1.9-0.2build1
tmux	3.4-1ubuntu0.1
tnftp	20230507-2build3
tpm-udev	0.6ubuntu1
trace-cmd	3.2-1ubuntu2
tumbler	4.18.1-1.1build4
tumbler-common	4.18.1-1.1build4
tzdata	2025b-0ubuntu0.24.04.1
ubuntu-kernel-accessories	1.539.2
ubuntu-keyring	2023.11.28.1
ubuntu-minimal	1.539.2
ubuntu-mono	24.04-0ubuntu1
ubuntu-pro-client	37.1ubuntu0~24.04
ubuntu-pro-client-l10n	37.1ubuntu0~24.04
ubuntu-release-upgrader-core	1:24.04.28
ubuntu-server	1.539.2
ubuntu-standard	1.539.2
ubuntu-touch-sounds	15.08build1
ucf	3.0043+nmu1
udev	255.4-1ubuntu8.12
udisks2	2.10.1-6ubuntu1.3
ufw	0.36.2-6
unattended-upgrades	2.9.1+nmu4ubuntu1
unity-control-center	15.04.0+23.04.20230220-0ubuntu8
unity-greeter	24.04.1-0ubuntu1
unity-gtk-module-common	0.0.0+18.04.20171202-0ubuntu7
unity-gtk2-module	0.0.0+18.04.20171202-0ubuntu7
unity-gtk3-module	0.0.0+18.04.20171202-0ubuntu7
unity-settings-daemon	15.04.1+21.10.20220802-0ubuntu5
unity-settings-daemon-schemas	15.04.1+21.10.20220802-0ubuntu5
uno-libs-private	4:24.2.7-0ubuntu0.24.04.4
unoconv	0.7-2ubuntu1
unzip	6.0-28ubuntu4.1
update-inetd	4.53
update-manager-core	1:24.04.12
update-notifier-common	3.192.68.2
upower	1.90.3-1
ure	4:24.2.7-0ubuntu0.24.04.4
usb-modeswitch	2.6.1-3ubuntu3
usb-modeswitch-data	20191128-6
usb.ids	2024.03.18-1
usbmuxd	1.1.1-5~exp3ubuntu2.1
usbutils	1:017-3build1
util-linux	2.39.3-9ubuntu6.4
uuid-runtime	2.39.3-9ubuntu6.4
va-driver-all	2.20.0-2ubuntu0.1
va-driver-all	2.20.0-2ubuntu0.1
vdpau-driver-all	1.5-2build1
vdpau-driver-all	1.5-2build1
vim	2:9.1.0016-1ubuntu7.9
vim-common	2:9.1.0016-1ubuntu7.9
vim-runtime	2:9.1.0016-1ubuntu7.9
vim-tiny	2:9.1.0016-1ubuntu7.9
wamerican	2020.12.07-2
webpack	5.76.1+dfsg1+~cs17.16.16-1
wget	1.21.4-1ubuntu4.1
whiptail	0.52.24-2ubuntu2
whoopsie	0.2.77ubuntu0.1
whoopsie-preferences	23build3
wine	9.0~repack-4build3
wine32	9.0~repack-4build3
wine64	9.0~repack-4build3
winetricks	20240105-2
wireless-regdb	2025.07.10-0ubuntu1~24.04.1
wpasupplicant	2:2.10-21ubuntu0.3
x11-apps	7.7+11build3
x11-common	1:7.7+23ubuntu3
x11-session-utils	7.7+6build2
x11-utils	7.7+6build2
x11-xkb-utils	7.7+8build2
x11-xserver-utils	7.7+10build2
xarchiver	1:0.5.4.22-1build2
xauth	1:1.1.2-1build1
xbitmaps	1.1.1-2.2
xcvt	0.1.2-1build1
xdg-dbus-proxy	0.1.5-1ubuntu0.1
xdg-desktop-portal	1.18.4-1ubuntu2.24.04.1
xdg-desktop-portal-gtk	1.15.1-1build2
xdg-user-dirs	0.18-1build1
xdg-utils	1.1.3-4.1ubuntu3
xfburn	0.7.0-1build2
xfce4	4.18
xfce4-appfinder	4.18.0-1build2
xfce4-battery-plugin	1.1.5-1build2
xfce4-clipman	2:1.6.5-1build2
xfce4-clipman-plugin	2:1.6.5-1build2
xfce4-cpufreq-plugin	1.2.8-2build2
xfce4-cpugraph-plugin	1.2.10-1build2
xfce4-dict	0.8.6-1build2
xfce4-diskperf-plugin	2.7.0-1build2
xfce4-fsguard-plugin	1.1.3-1build2
xfce4-genmon-plugin	4.1.1-1build2
xfce4-goodies	4.18.2build1
xfce4-helpers	4.18.4-0ubuntu3
xfce4-mailwatch-plugin	1.3.1-1build2
xfce4-netload-plugin	1.4.1-1build2
xfce4-notifyd	0.9.4-1
xfce4-panel	4.18.4-1ubuntu0.1
xfce4-places-plugin	1.8.3-1build2
xfce4-power-manager	4.18.3-2build3
xfce4-power-manager-data	4.18.3-2build3
xfce4-power-manager-plugins	4.18.3-2build3
xfce4-pulseaudio-plugin	0.4.8-1build2
xfce4-screenshooter	1.10.5-1build1
xfce4-sensors-plugin	1.4.4-1build2
xfce4-session	4.18.3-1build2
xfce4-settings	4.18.4-0ubuntu3
xfce4-smartbookmark-plugin	0.5.2-1build2
xfce4-systemload-plugin	1:1.3.2-2ubuntu3
xfce4-taskmanager	1.5.7-1build1
xfce4-terminal	1.1.3-1build1
xfce4-timer-plugin	1.7.2-1build2
xfce4-verve-plugin	2.0.3-1build2
xfce4-wavelan-plugin	0.6.3-1build2
xfce4-weather-plugin	0.11.2-1build2
xfce4-whiskermenu-plugin	2.8.3-1build2
xfce4-xkb-plugin	1:0.8.3-1build2
xfconf	4.18.1-1build3
xfdesktop4	4.18.1-1build3
xfdesktop4-data	4.18.1-1build3
xfonts-base	1:1.0.5+nmu1
xfonts-encodings	1:1.0.5-0ubuntu2
xfonts-scalable	1:1.0.3-1.3
xfonts-utils	1:7.7+6build3
xfsprogs	6.6.0-1ubuntu2.1
xfwm4	4.18.0-1build3
xiccd	0.3.0-2build2
xinit	1.4.1-0ubuntu5
xinput	1.6.4-1build1
xkb-data	2.41-2ubuntu1.1
xml-core	0.19
xorg	1:7.7+23ubuntu3
xorg-docs-core	1:1.7.1-1.2
xorgxrdp	1:0.9.19-1
xrdp	0.9.24-4
xserver-common	2:21.1.12-1ubuntu1.5
xserver-xorg	1:7.7+23ubuntu3
xserver-xorg-core	2:21.1.12-1ubuntu1.5
xserver-xorg-input-all	1:7.7+23ubuntu3
xserver-xorg-input-libinput	1.4.0-1ubuntu24.04.1
xserver-xorg-input-wacom	1:1.2.0-1ubuntu2
xserver-xorg-legacy	2:21.1.12-1ubuntu1.5
xserver-xorg-video-all	1:7.7+23ubuntu3
xserver-xorg-video-amdgpu	23.0.0-1ubuntu0.24.04.1
xserver-xorg-video-ati	1:22.0.0-1build1
xserver-xorg-video-fbdev	1:0.5.0-2build2
xserver-xorg-video-intel	2:2.99.917+git20210115-1build1
xserver-xorg-video-nouveau	1:1.0.17-2ubuntu0.1
xserver-xorg-video-qxl	0.1.6-1build1
xserver-xorg-video-radeon	1:22.0.0-1build1
xserver-xorg-video-vesa	1:2.6.0-1ubuntu0.1
xserver-xorg-video-vmware	1:13.4.0-1build1
xvfb	2:21.1.12-1ubuntu1.5
xxd	2:9.1.0016-1ubuntu7.9
xz-utils	5.6.1+really5.4.5-1ubuntu0.2
yelp	42.2-1ubuntu0.24.04.1
yelp-xsl	42.1-2ubuntu0.24.04.1
zeitgeist-core	1.0.4-5ubuntu5
zerofree	1.1.1-1build5
zlib1g	1:1.3.dfsg-3.1ubuntu2.1
zlib1g	1:1.3.dfsg-3.1ubuntu2.1
zlib1g-dev	1:1.3.dfsg-3.1ubuntu2.1
zstd	1.5.5+dfsg2-2build1.1
zutty	0.14.8.20231210+dfsg1-1
